time.pt,pcv,expt
0,0.65,1
0,0.7,1
0,0.8,1
4,0.95,1
4,1,1
4,1,1
8,1.45,1
8,1.35,1
8,1.05,1
12,1.6,1
12,1.6,1
12,1.55,1
24,3.15,1
24,2.8,1
24,2.9,1
0,3.8,2
0,3.8,2
0,3.5,2
4,4.3,2
4,4.4,2
4,4.6,2
8,5.4,2
8,5.3,2
8,6,2
12,6.4,2
12,7.2,2
12,6.5,2
